Date,Description,Name,Reting,rating_count,reviews_count,label,noun,adjective
" August 24, 2018",Great time as always,Lawrence K.,5,18,4,1,time,great
" August 19, 2018",It was fun me and my wife had a great time,Bryan W.,4,1,1,1,"time,fun",great
" August 18, 2018","I learned A lot and had a great time,the instructor was laid back with a friendly personality. Would definitely recommend this class.",Tanasa B.,5,1,1,1,"time,class,instructor",great
" August 16, 2018","Sadly, I was unable to attend the Champagne and Chocolate tasting with my group due to illness but I heard they all had a BLAST!",MJ D.,4,1,1,1,,
" August 16, 2018",A fun night out!and a nice selection of activities. Robert does a great job keeping you entertained!,Margaret R.,5,8,3,1,"job,night",great
" July 30, 2018","Great place to learn all the fundamentals, super cool class",Jondavid B.,5,4,2,1,"place,class","great,cool"
" July 29, 2018",Great wines.  Great times.  Robert never disappoints. My 3rd time here. Great event !!,Lawrence K.,5,18,4,1,"wine,times",great
" May 12, 2018",Rob is fantastic! This was my third class with him and every time is better than the last! Keep up the great work! See you soon!,Alyssa C.,5,11,8,1,"class,work","great,fantastic"
" July 26, 2018",Loved it! Rob was very kind and genuine. Will book this again!,Joannie A.,5,1,1,1,,"kind,genuine"
" July 22, 2018",Very Entertaining I Had a Ball! Rob is so much fun and I love the fact I was able to interact with people that I didn't even know and still had an awesome time I will be going back again :),Melanie H.,5,6,3,1,time,"awesome,entertaining"
" July 15, 2018","Best experience I ever had,",Christian L.,5,3,2,1,experience,best
" July 14, 2018",Great time and great wine and cheese!,Lewis S.,5,13,3,1,"time,wine",great
" July 5, 2018",I went to the wine and cheese tasting with my family and we had an amazing time!,Allison T.,5,1,1,1,"time,wine",amazing
" July 4, 2018",This is my 2nd trip here ! Absolutely outstanding work by Robert with this class. So much fun and really overall an amazing night out. Again !,Lawrence K.,5,18,4,1,"work,class","outstanding,amazing"
" June 28, 2018",Very fun interactive experience!! Rob was great!!,Qadriyyah C.,5,1,1,1,experience,great
" June 28, 2018",The owner/bartender was so great and friendly. He was very fun and we had an amazing time. We want to go back for other classes!,Dani H.,4,1,1,1,"owner,bartender,time","great,friendly,amazing"
" June 23, 2018","Took my father here for Father__ Day and we had an amazing time! Not only was Steven so tentative to us, he also made it his mission to change my dad__ mind about IPAs_. He got to know us on a personal feel and gave us such a great variety of beers to try! I__ not a huge beer fan and I even walked out ranting about 3 of the flavors we tried. We had a great time and I can__ wait to go back again!!",Autumn R.,5,3,1,1,time,amazing
" June 23, 2018",Strongly suggest class. Fun & laid back. Incredible value!,Alexander L.,5,3,1,1,class,incredible
" June 20, 2018",Took my mom and dad here for moms day. Was a really quaint place. If youre a Boston sports fan you__l love the space. The event itself was really nice. Interesting to see how the right cheeses really change the bodies of wine. Rob did an outstanding job and his personality and demeanor was tops. He is very knowledgeable and the wines were not pricy at all and cheeses were delicious. Will be back,Lawrence K.,5,18,4,1,"place,job","quaint,outstanding,knowledgeable"
" June 20, 2018","I heard about this place as there were several of my friends who have been here. I wasn__ expecting such a great relaxing environment. The pairings were great. The smoked apple Gouda ?? To die for ! Robs personality is fantastic. Can__ say enough good things. If you go, and get to try the Monastrell wine you__e in for a treat. I__e had them before in Spain - the one I had here was superb. Bravo !",Kyle J.,5,1,1,1,"place,environment","great,fantastic"
" June 19, 2018",This was my 4th ticket getting off Groupon. Had blast at the wine and cheese. Great time at wine and chocolate. Champagne was really educational and fun but this ??  This was by far my favorite!!!  Learned a lot but met some great people. This is hands on where we got to learn how to make single serve sangria and it was a load of fun. Can__ say enough good about this class/tasting. Robert is great,Jessica C.,5,21,13,1,"wine,time","great,favourite"
" June 19, 2018",Had a great time. Pairings were delicious and rob is insane. Fun time !,Jessica C.,5,21,13,1,time,"insane,delicious,great"
" June 17, 2018",My father and I truly enjoyed!,Angela S.,5,14,3,1,,
" June 16, 2018",My girlfriends decided to try this for our girls weekend getaway and had such an amazing time. Rob was so great. We just left and are already planning on the next time to go. I would recommend this to everyone it__ a great experience,Michelle H.,5,3,2,1,"time,experience","amazing,great"
" June 10, 2018",This place was awesome! My boyfriend and I came and we had such a great time! Rob was extremely knowledgeable and insightful on the wines and cheeses that were paired. Super fun place and atmosphere and definitely a great date night place. Rob was great with the pours too (plentiful) and there are a ton of great places to eat in a walking vicinity. Definitely coming back again! Thanks Rob!,Barbara W.,5,1,1,1,"palce,time","awesome,great,knowledgeable"
" February 18, 2019","Didn__ give it less because I can__ put _0_. THIS IS A SCAM, do not buy. You can learn what they teach you here in YouTube (the only thing they really teach you is how to count and that__ it really) NOT WORTH $100 AT ALL. Go get TIPS certified and avoid this SHAM of a __usiness_",Emily G.,1,4,2,0,,
" June 3, 2018","I loved it! It was an excellent experience. My husband and I went to the cheese and wine pairing class and we had a great time, this is great to do with friends too, and in a group it would be awesome as well. I want to come back for their beer tasting and for the scotch tasting, and I feel intrigue as well for their sangria making class, that should be fun!",Josefina S.,5,1,1,1,"experience,time,class","excellent,great"
" December 23, 2018",That was my experience :) . If you__e a kid looking forward to bartending. Take the full day by all means. You will learn more things,Tyler W.,3,1,1,1,experience,
" May 30, 2018","Rob was awesome! I had bought this Groupon as a fun experience for my family and we all enjoyed it way more than we thought we would. Loved that the bar is Boston themed (coming from a family of redsox fans). Thanks so much for making us feel like friends to you, Rob! Can__ wait to come back for another class! __",Kaylyn V.,5,1,1,1,experience,"awesome,fun"
" May 21, 2018",Great interactive class with lots of tasting options! Had the opportunity to meet a few new friends as well.,Danielle J.,5,4,2,1,"options,class","great,tasing"
" May 17, 2018",Relaxed enviroment and very fun. Will be coming back again,Dylan L.,5,2,1,1,"fun,environment",relaxed
" May 11, 2018",I attended the sangria class. It wasn't what I expected but it was fun. If you want to have a good time with friends I recommended.,Ines A.,4,36,34,1,"class,fun,time",good
" May 3, 2018","Awesome experience!!! He is amazing, never liked wine before and my husband and I left loving it. A whole new experience",Erika R.,5,5,1,1,experience,"amazing,awesome"
" May 3, 2018",We had an amazing time. We are planning to do it again soon.,Nicole E.,5,4,2,1,time,amazing
" May 3, 2018",Great host as well as great people attending. We had a great time and learned a lot.,Charmaine P.,5,2,1,1,"host,time",great
" May 3, 2018",The class was very interactive and entertaining! Definitely going again!,Angelique B.,5,9,4,1,class,"interactive,entertaining"
" April 30, 2018",Great experience with an awesome instructor. I met some nice people here as well! Money well spent. I've already planned my next trip back.,Daniel,5,4,2,1,"experience,instructor","great,nice"
" April 27, 2018","Great guy, Robert__ classes are dynamic and funny, this is the perfect basic bartending short course in my opinion. You get the hands-on experience and learn about the most famous drinks. He even offered to stay overtime so we could practice more! Only I thing I wish he had was actual fruit so we could learn the slice technique and what goes with what. Overall great experience and would reccomend.",Alexander C.,5,1,1,1,classes,"dynamic,funny"
" April 26, 2018",It was fun experience the teacher is awesome I'm going to do it again,Jamil F.,5,3,1,1,"experience,teacher","awesome,fun"
" April 25, 2018",Had a great time sipping some wine and eating cheese. Would do this again! great place!,Carla L.,5,7,5,1,"wine,time",great
" April 23, 2018","Rob was awesome and kept the class and conversation flowing just like the sangria was. It was interactive and informative. We learned to make a bunch of different sangria's and even had a little challenge at the end!! This is a must buy and even if it's not this particular one, Rob and Bar Academy offer multiple classes that are well worth the money!",Daniel A.,5,3,2,1,class,"awesome,interactive"
" April 20, 2018",Rob is great !!!!  This is my 4th time here for his classes and tasting events. I have to say that the sangria class and there__ always an amazing amount of fun top-notch service all the way,Jessica C.,5,21,13,1,"classes,events",great
" April 20, 2018",Had an absolutely amazing experience with the sangria making class,Jessica C.,5,21,13,1,"experience,class",amazing
" April 20, 2018",Absolutely amazing experience Rob is fantastic,Jessica C.,5,21,13,1,experience,"fantastic,amazing"
" April 17, 2018",Not what you'll be expecting!! Way more fun!!,Jalynn F.,5,3,3,1,fun,expecting
" April 7, 2018",Had a great time and met some wonderful people.,Angela B.,5,19,7,1,"time,people","great,wonderful"
" May 8, 2017","The choice of wine was good.
The instructor is very friendly and makes the experience wonderful.",Aarti C.,5,2,1,1,"wine,instructor,experience","good,friendly,wonderful"
" April 6, 2018","Great class, great teacher. Had a blast would def recommend it. Will definitely do it again.",Juan,5,8,2,1,"class,teacher",great
" October 10, 2016","It was a great experience. The host was super friendly and made a great effort to talk with every guest - not easy, with 6 couples doing 3 different kinds of tastings. I'd love to see him use his skill and knowledge to hold tastings that are a bit more in depth (maybe focusing on just one item, instead of multiple , as that might facilitate more discussion with host and among guest couples) and have wider offerings. We would love to return for another tasting!",Kirstin R.,4,1,1,1,"experience,host","great,friendly"
" April 2, 2018",Fun time and rob is amazing !,Jessica C.,5,21,13,1,time,"fun,amazing"
" April 16, 2017","By far one of the best experiences while living in Montclair. Rob the host was funny, engaging and very knowledgeable. All the attendees were fun and we had a great evening.

Book your classes now!!!",Ortiz J.,5,1,1,1,"experiences,host","funny,knowledgeable,great"
" June 7, 2017",Rob is an excellent instructor! I deff recommend!,Nia S.,5,3,2,1,instructor,excellent
" March 19, 2018",Rob has an amazingly sarcastic and dry sense of humor that is absolutely priceless !!!! Lol..... i__e been to this establishment several times for various classes and tasting events and I have to say my experiences get better every time out ......truly first class operation and every time I go there we have a great time........,Jessica C.,5,21,13,1,"humor,classes",tasting
" April 15, 2017",The owner is very nice & friendly! I've been here twice and always have a great time. I've done the wine & chocolate tasting which was tasty and I've done the canvas painting which was so much fun. The instructor was a sweetheart! Definitely coming back.,Katherine L.,5,2,2,1,"time,owner","great,nice,friendly"
" March 30, 2018",Had a great time!,Gina M.,5,1,1,1,time,great
" December 10, 2016",WOW!!!!!! Great experience and even better host. Rob was amazing. Very funny and entertaining. LOTS of booze lol. Will definitely try other classes. Highly recommended!!Thanks again!!!,Brandon N.,5,6,3,1,"classes,experience,host","great,better,funny"
" July 18, 2017",I had a great time at the craft beer tasting. I decided I would do this one because I've been getting into craft beers lately and I have to say Rob was a great host. we sampled close to 10 beers and I got to try some things I never knew were out there. He's an amazing guy to talk to and hear his story. Loved this place and thank you rob for great time !,Jennifer D.,5,2,2,1,"time,host",great
 Invalid date,"Enjoy the atmosphere, the convivial host and the opportunity to try new wines and chocolates..amazing place to have a relaxing experience!",Gina S.,5,2,1,1,"atmosphere,experience,wine","new,relaxing"
" December 30, 2016","Great place for a date night. The owner and the staff were extremely friendly and attentive. Anything you needed they were there to help step by step. The lady, Cindy, that handles the event is awesome and funny. She have you paint and make sure that your glass isn't empty. High recommend this place!",Bruce H.,5,2,2,1,"night,palce,owner","great,friendly"
" November 24, 2016","Highly recommended, this was a lot of fun and the bartender was really cool. I'll definitely be coming back to try out the other wine tastings.",Sean M.,5,2,1,1,"fun,bartender",cool
" March 23, 2018",Sangria making class was top notch! Lots of fun for a girls night out.,Laura V.,5,4,3,1,"class,fun",
" May 7, 2017",Ive been to a few classes now and each one is absolutely amazing. Highly recommend!,Alyssa C.,5,11,8,1,classes,amazing
" August 13, 2016","Great, easy going atmosphere, with a fun and knowledgable instructor",Riken K.,5,1,1,1,"atmosphere,instructor","knowledgeable,great"
" November 2, 2017",Fun fun and fun !!!  Rob is great. Bar academy is a great alternative to the bar scene. Wonderful experience!!!!,Jessica C.,5,21,13,1,"fun,experience","great,wonderful"
" March 23, 2018",awesome!! Rob is fantastic!,Anthony S.,5,2,1,1,,"awesome,fantastic"
" July 27, 2017",Excellent experience. Informative and fun. I recommend having a designated driver ready or an uber.,Sandra C.,5,4,1,1,experience,excellent
" June 17, 2016",Went for the canvas painting class. It was a lot of fun and the instructor was very helpful and encouraging.,Demetre F.,5,22,8,1,"fun,instructor,class","helpful,encouraging"
" May 22, 2017",This was a great experience and we would do it again. Rob was excellent and so knowledgeable. What a great way to spend a Sunday afternoon.,Sixto A.,5,15,3,1,experience,"great,excellent,knowledgeable"
" April 28, 2017",Amazing location! Rob is extremely nice and a very expert of the combinations. We did Wine&cheese I truly recommend this fantastic experience!,Debora B.,5,6,1,1,"location,wine,experience","amazing,fantastic"
" February 19, 2017",Wonderful experience! The man running the show had an amazing knowledge of his products and was entertaining. By far the best Groupon I've purchased!,Kristin N.,5,2,1,1,"experience,knowledge","amazing,wonderful"
" January 22, 2017",A great experience and very professional instruction by Rob! Why did I wait so long to take this class? I will definitely recommend going to Bar Academy 101!,Deborah R.,5,1,1,1,"class,experience",great
" January 21, 2017",Rob is awesone what a great experience. learning about different wines is excellent! !,Tyrone J.,5,1,1,1,"experience,wine","excellent,great"
" June 18, 2017",Guy was very awesome and the place look like a real life bar. I reallly recommend it.,Joshua R.,5,1,1,1,"guy,place",awesome
" March 16, 2016",The place was really chill. The guy had nice decorations. Very casual like environment. The cost was reasonable. The wines were great with the chocolates. I would recommend this place to do a wine and chocolate tasting. After the session you most likely feel buzz unless I am just light weight.,Jennifer M.,5,5,4,1,"place,guy,wine",great
" October 19, 2017",Rob was a fantastic host!,Ethan G.,5,2,1,1,host,fantastic
" March 3, 2017","Rob tried to be available for everyone but he was not successful. He spread himself too thin. For example, he scheduled  to facilitate several different classes at the same time. Therefore we were given approximately 45 seconds of his time and information. Very limited conversations (Q&A). However the selection of cheeses and wine were good. Several of us attending the class decided that we can do this ourselves. So thanks for the introduction and idea:)!",Brenda W.,3,1,1,1,"classes,wines","successful,good"
" July 27, 2017","Sarcastic in the best of ways, made the class fun and the hands on approach allowed me to learn so much quicker! The atmosphere was so good that I was laughing the entire time with the people I was practicing with. Highly recommend !",Michael G.,5,3,2,1,"class,atmosphere",good
" August 19, 2017",Don't go.   Not worth the money even with groupon.   It was dingy and dirty.   The owner was not very nice or helpful,Kim N.,1,3,1,0,"groupon,owner","dingy,dirty,helpful"
" February 24, 2017","Awesome time. Great date night or girls' night out. Rob was a dynamic host and made the event enjoyable and educational. 
Going back is a must.",Edhybet F.,5,2,2,1,host,"dynamic,enjoyable"
" November 2, 2016","Awesome time, very knowledgeable owner!",Dawn N.,5,19,9,1,"owner,time","awesome,knowledgeable"
" October 26, 2017",Overall fantastic experience. I would return again with my wife soon for the sangria making.,Robert T.,5,19,8,1,experience,fantastic
 Invalid date,Great experience. Great fun. Loved the wine and cheese pairing. Great wines and nice portion of cheese. Great time with friends.,Robert T.,5,19,8,1,"time,wine,experience",great
" November 14, 2017",Very cool place and instructor. This course is great for those that never mixed a drink to those that want to freshen up their bar skill. ____,Felipe P.,5,6,2,1,"place,instructor","cool,great"
" November 24, 2016",Very awesome experience! Go to this place! You won't want to miss this opportunity.,Daniel P.,5,9,6,1,"experience,place",awesome
" November 4, 2016","great experience ,will recommen",Melissa R.,5,1,1,1,experience,great
" December 28, 2017","Good selection of wine and cheese. The host was very knowledgeable, friendly, and personable. I would definitely return and I do recommend others to try it out.",Christopher,5,1,1,1,"wine,host","good,knowledgeable"
" August 15, 2016",Great experience! Rob was great with his knowledge on wine. He paired the cheeses perfectly! Ambiance was great. Would definitely do again.,Silvia M.,5,2,2,1,"wine,experience",great
" July 8, 2016",Very easy to schedule the owner Robert is a really nice guy learned a lot during my class......... I would recommend it to everyone that I know ........fantastic experience all around ......amazing place,Robert T.,5,19,8,1,"owner,class",easy
 Invalid date,Awesome experience!,Daniel B.,5,1,1,1,experience,awesome
" February 17, 2018",Scheduling is a little wonky and you have to call them to do so.  Class itself is a lot of fun.  Rob clearly knows what he's doing and gets you behind the bar (and a little Drunk) over the course of the hour.  Will very likely return with friends!,Mitch B.,5,2,1,1,"class,scheduling",wonky
" December 27, 2017","So far the experience has been great with Robert the owner 

Let's see how classes go.",Dawn M.,5,1,1,1,"experiences,classes",
" September 11, 2017",Had a blast so much fun Rob was great .,Carmen F.,5,3,3,1,,great
" March 25, 2017","Was a great experience, great girls night out! The instructor was awesome!!",Connie N.,5,2,2,1,"experience,instructor","awesome,great"
" May 23, 2016",Gray place and great host!,Elias A.,5,2,1,1,"host,palce",great
 Invalid date,Fun environment to learn how to bartend.  I had a great time and feel confident I can do more. I recommend,Alex S.,5,3,2,1,"environment,time",great
" March 3, 2016",Had an amazing time at the sangria making class. Learned so much about making different flavored Sangrias and Rob was incredible. 100% I recom,Robert T.,5,19,8,1,"time,class","amazing,incredible"
" March 11, 2018",Rob was amazing first time I went and I am going to try all his classes priceless session __,Rachel B.,5,20,3,1,"classes,time",amazing
" March 1, 2018","Me and my friends had a great time making sangria, I would definitely recommend this for a date night or ladies night out!",Adrienne G.,5,1,1,1,"night,time",great
" February 27, 2018",Great experience.  Had a blast.,John G.,5,13,7,1,"experience,blast",great
" February 19, 2018",Absolutely amazing experience tasty beers they also had wine,Alisha A.,5,2,1,1,"beers,wine,experience","tasty,amazing"
" February 19, 2018",Such a great atmosphere... We laugh and have a good time each visit. Definitely a place to add to your planner.,Donna M.,5,3,3,1,"atmosphere,time","great,good"
" February 18, 2018",Amazing class! So fun and the owner is great!,Alyssa C.,5,11,8,1,"class,owner","amazing,great"
" February 16, 2018","It was amazing! Very fun! I loved making drinks. Also, the certificate given afterward is adorable and funny!",Shynette C.,5,3,1,1,drinks,"amazing,funny"
" February 13, 2018",Just a very relaxed time and I had the pleasure to sample several different craft beers over two hours ........and Rob really did his job and turning me onto something that I did not think I was going to enjoy.....much fun,Jessica C.,5,21,13,1,"time,pleasure",relaxed
" January 26, 2018","Had a great time.  Learned how to make some single serve sangrias, and met new people.",Kathy K.,5,1,1,1,time,great
" January 21, 2018","The instructor makes the class very fun and entertaining , wasn't so serious at all would definitely recommend bar 101 for and class they offer",Rashidat Y.,5,10,4,1,"class,instructor","fun,entertaining"
" January 16, 2018",great experience...fun date night...I recommend it,Scott G.,5,5,5,1,experience,great
" January 16, 2018",Spectacular time !!!!,Jessica C.,5,21,13,1,time,spectacular
" January 16, 2018",Great atmosphere!!! You come there not knowing anyone and leave out being the best of friends. I will come back again again and again.,Ebony B.,5,1,1,1,atmosphere,great
" January 10, 2018","My husband and I had such a great time at Bar Academy! The wine and cheese tasting was excellent. The wines were all from different regions, some we'd never had before, and they were all delicious! Rob is a great host and teacher. It was easily the most fun wine tasting we've ever been to! We can't wait to go back! Thanks Rob!",Patricia A.,5,1,1,1,"tasting,time,host","great,excellent"
" January 5, 2018",This is my second time doing this particular class ......it is so much fun .......the menu changes on a weekly basis and Rob is always on his A game ..........absolutely fantastic experience I would recommend to all !!!!!,Jessica C.,5,21,13,1,"class,experience","particular,fantastic"
" December 31, 2017",Bought this for my Boyfriend as a Christmas gift. We had a great time! Definitely going sign up for another class!,Breanna B.,5,3,2,1,"time,class",great
" December 11, 2017","It was an amazing experience, Rob is the absolute best. I can't wait to go to his other events",Raheem H.,5,1,1,1,"experience,events",amazing
" December 11, 2017",Had an amazing time!!! Something different & fun! Rob is the bomb.com!,Treasure K.,5,4,2,1,time,amazing
" December 8, 2017","The instructor was A+, the place was nice with fun decor and overall it was a great date night idea!",Anthony M.,5,2,1,1,"instructor,idea",great
" November 30, 2017",My aunt & I did the Wine & Cheese tasting and had a great time! Rob was awesome!,Gina M.,5,1,1,1,"tasting,time","great,awesome"
" November 10, 2017",I had a really great time. I enjoyed the wine and learned a lot. It was worth the $26 bucks and I would be interested in coming back for a wine and cheese tasting.,Jevonnah M.,4,3,1,1,"time,wine",great
" November 10, 2017",It was definitely so much fun!! I would definitely go back again!,Julissa D.,5,3,1,1,fun,
" November 2, 2017","This was an AMAZING experience. Rob was truly a great great guy. Funny, and really informative!!!  Only problem is I felt like I was in a bar in Boston. lol. Go Yankees ! But seriously what a cute, fun, amazing night out ! Rob is a sarcastic ( in a great fun way ) person who I can see truly loves what he does for a living. Very knowledgeable and did I say fun ? Lol. Great time",Jessica C.,5,21,13,1,"experience,guy","amazing,great"
" October 30, 2017",Great experience Rob was very knowledgeable friendly and funny and the setup was very nice.. we'll be coming back to do again,Roberto C.,5,1,1,1,experience,"great,knowledgeable"
" October 13, 2017",The event was a good time. Robert was knowledgeable. He answered our questions and even give us suggestions. The wine and cheese selections were good overall. I would denfinely recommend it for a date night or a girls night out.,Clara J.,5,3,2,1,"time,event","good,knowledgeable"
" October 13, 2017",Rob was great. The class was very fun and interactive.,Aleeah,5,1,1,1,class,"great,fun"
" October 10, 2017",Great Time,Ray G.,5,1,1,1,time,great
